service_id,date,exception_type
229741,20240503,1
229751,20240503,1
229761,20240503,1
229771,20240503,1
229781,20240503,1
229791,20240503,1
229801,20240503,1
229811,20240503,1
229821,20240503,1
229830,20240503,1
229837,20240503,1
229843,20240503,1
229851,20240503,1
229865,20240503,1
229875,20240503,1
229891,20240503,1
229901,20240503,1
229911,20240503,1
229921,20240503,1
229931,20240503,1
229947,20240503,1
229957,20240503,1
229967,20240503,1
229977,20240503,1
229987,20240503,1
229997,20240503,1
230007,20240503,1
230017,20240503,1
230027,20240503,1
230037,20240503,1
230047,20240503,1
230057,20240503,1
230067,20240503,1
230077,20240503,1
230085,20240503,1
230093,20240503,1
230101,20240503,1
230109,20240503,1
230119,20240503,1
230129,20240503,1
230139,20240503,1
230149,20240503,1
230159,20240503,1
230169,20240503,1
230179,20240503,1
230187,20240503,1
230195,20240503,1
230205,20240503,1
230213,20240503,1
230219,20240503,1
230225,20240503,1
230233,20240503,1
230243,20240503,1
230253,20240503,1
230263,20240503,1
230271,20240503,1
230277,20240503,1
230285,20240503,1
230293,20240503,1
230301,20240503,1
230311,20240503,1
230321,20240503,1
230331,20240503,1
230339,20240503,1
230345,20240503,1
230351,20240503,1
230359,20240503,1
230367,20240503,1
230375,20240503,1
230385,20240503,1
230395,20240503,1
230403,20240503,1
230411,20240503,1
230421,20240503,1
230431,20240503,1
230441,20240503,1
230451,20240503,1
230459,20240503,1
230465,20240503,1
230471,20240503,1
230479,20240503,1
230489,20240503,1
230497,20240503,1
230503,20240503,1
230511,20240503,1
230526,20240503,1
230536,20240503,1
230546,20240503,1
230556,20240503,1
230566,20240503,1
230576,20240503,1
230586,20240503,1
230596,20240503,1
230606,20240503,1
230616,20240503,1
230626,20240503,1
230636,20240503,1
230646,20240503,1
230656,20240503,1
230666,20240503,1
230676,20240503,1
230691,20240503,1
230701,20240503,1
230711,20240503,1
230721,20240503,1
230731,20240503,1
230756,20240503,1
230766,20240503,1
230776,20240503,1
230786,20240503,1
230796,20240503,1
230806,20240503,1
230816,20240503,1
230826,20240503,1
229279,20240504,1
229289,20240504,1
229299,20240504,1
229309,20240504,1
229319,20240504,1
229328,20240504,1
229337,20240504,1
229347,20240504,1
229357,20240504,1
229367,20240504,1
229377,20240504,1
229387,20240504,1
229397,20240504,1
229407,20240504,1
229417,20240504,1
229427,20240504,1
229437,20240504,1
229447,20240504,1
229457,20240504,1
229467,20240504,1
229477,20240504,1
229487,20240504,1
229497,20240504,1
229507,20240504,1
229517,20240504,1
229527,20240504,1
229543,20240504,1
229553,20240504,1
229563,20240504,1
229573,20240504,1
229595,20240504,1
229605,20240504,1
229615,20240504,1
229625,20240504,1
229635,20240504,1
229645,20240504,1
229655,20240504,1
229693,20240504,1
229703,20240504,1
229730,20240504,1
229739,20240504,1
229749,20240504,1
229759,20240504,1
229769,20240504,1
229779,20240504,1
229789,20240504,1
229799,20240504,1
229809,20240504,1
229819,20240504,1
229828,20240504,1
229849,20240504,1
229857,20240504,1
229863,20240504,1
229873,20240504,1
229889,20240504,1
229899,20240504,1
229909,20240504,1
229919,20240504,1
229929,20240504,1
229945,20240504,1
229955,20240504,1
229965,20240504,1
229975,20240504,1
229985,20240504,1
229995,20240504,1
230005,20240504,1
230015,20240504,1
230025,20240504,1
230035,20240504,1
230045,20240504,1
230055,20240504,1
230065,20240504,1
230075,20240504,1
230091,20240504,1
230107,20240504,1
230117,20240504,1
230127,20240504,1
230137,20240504,1
230147,20240504,1
230157,20240504,1
230167,20240504,1
230177,20240504,1
230193,20240504,1
230203,20240504,1
230231,20240504,1
230241,20240504,1
230251,20240504,1
230261,20240504,1
230283,20240504,1
230299,20240504,1
230309,20240504,1
230319,20240504,1
230329,20240504,1
230357,20240504,1
230373,20240504,1
230383,20240504,1
230393,20240504,1
230409,20240504,1
230419,20240504,1
230429,20240504,1
230439,20240504,1
230449,20240504,1
230477,20240504,1
230487,20240504,1
230509,20240504,1
230524,20240504,1
230534,20240504,1
230544,20240504,1
230554,20240504,1
230564,20240504,1
230574,20240504,1
230584,20240504,1
230594,20240504,1
230604,20240504,1
230614,20240504,1
230624,20240504,1
230634,20240504,1
230644,20240504,1
230654,20240504,1
230664,20240504,1
230674,20240504,1
230689,20240504,1
230699,20240504,1
230709,20240504,1
230719,20240504,1
230729,20240504,1
230754,20240504,1
230764,20240504,1
230774,20240504,1
230784,20240504,1
230794,20240504,1
230804,20240504,1
230814,20240504,1
230824,20240504,1
229278,20240505,1
229288,20240505,1
229298,20240505,1
229308,20240505,1
229318,20240505,1
229336,20240505,1
229346,20240505,1
229356,20240505,1
229366,20240505,1
229376,20240505,1
229386,20240505,1
229396,20240505,1
229406,20240505,1
229416,20240505,1
229426,20240505,1
229436,20240505,1
229446,20240505,1
229456,20240505,1
229466,20240505,1
229476,20240505,1
229486,20240505,1
229496,20240505,1
229506,20240505,1
229516,20240505,1
229526,20240505,1
229542,20240505,1
229552,20240505,1
229562,20240505,1
229572,20240505,1
229594,20240505,1
229604,20240505,1
229614,20240505,1
229624,20240505,1
229634,20240505,1
229644,20240505,1
229654,20240505,1
229692,20240505,1
229702,20240505,1
229738,20240505,1
229748,20240505,1
229758,20240505,1
229768,20240505,1
229778,20240505,1
229788,20240505,1
229798,20240505,1
229808,20240505,1
229818,20240505,1
229848,20240505,1
229856,20240505,1
229862,20240505,1
229872,20240505,1
229888,20240505,1
229898,20240505,1
229908,20240505,1
229918,20240505,1
229928,20240505,1
229944,20240505,1
229954,20240505,1
229964,20240505,1
229974,20240505,1
229984,20240505,1
229994,20240505,1
230004,20240505,1
230014,20240505,1
230024,20240505,1
230034,20240505,1
230044,20240505,1
230054,20240505,1
230064,20240505,1
230074,20240505,1
230090,20240505,1
230106,20240505,1
230116,20240505,1
230126,20240505,1
230136,20240505,1
230146,20240505,1
230156,20240505,1
230166,20240505,1
230176,20240505,1
230192,20240505,1
230202,20240505,1
230230,20240505,1
230240,20240505,1
230250,20240505,1
230260,20240505,1
230282,20240505,1
230298,20240505,1
230308,20240505,1
230318,20240505,1
230328,20240505,1
230356,20240505,1
230372,20240505,1
230382,20240505,1
230392,20240505,1
230408,20240505,1
230418,20240505,1
230428,20240505,1
230438,20240505,1
230448,20240505,1
230476,20240505,1
230486,20240505,1
230508,20240505,1
230523,20240505,1
230533,20240505,1
230543,20240505,1
230553,20240505,1
230563,20240505,1
230573,20240505,1
230583,20240505,1
230593,20240505,1
230603,20240505,1
230613,20240505,1
230623,20240505,1
230633,20240505,1
230643,20240505,1
230653,20240505,1
230663,20240505,1
230673,20240505,1
230688,20240505,1
230698,20240505,1
230708,20240505,1
230718,20240505,1
230728,20240505,1
230753,20240505,1
230763,20240505,1
230773,20240505,1
230783,20240505,1
230793,20240505,1
230803,20240505,1
230813,20240505,1
230823,20240505,1
229285,20240506,1
229295,20240506,1
229305,20240506,1
229315,20240506,1
229325,20240506,1
229333,20240506,1
229343,20240506,1
229353,20240506,1
229363,20240506,1
229373,20240506,1
229383,20240506,1
229393,20240506,1
229403,20240506,1
229413,20240506,1
229423,20240506,1
229433,20240506,1
229443,20240506,1
229453,20240506,1
229463,20240506,1
229473,20240506,1
229483,20240506,1
229493,20240506,1
229503,20240506,1
229513,20240506,1
229523,20240506,1
229533,20240506,1
229539,20240506,1
229549,20240506,1
229559,20240506,1
229569,20240506,1
229579,20240506,1
229585,20240506,1
229591,20240506,1
229601,20240506,1
229611,20240506,1
229621,20240506,1
229631,20240506,1
229641,20240506,1
229651,20240506,1
229661,20240506,1
229667,20240506,1
229673,20240506,1
229679,20240506,1
229699,20240506,1
229709,20240506,1
229715,20240506,1
229721,20240506,1
229727,20240506,1
229735,20240506,1
229745,20240506,1
229755,20240506,1
229765,20240506,1
229775,20240506,1
229785,20240506,1
229795,20240506,1
229805,20240506,1
229815,20240506,1
229825,20240506,1
229833,20240506,1
229839,20240506,1
229845,20240506,1
229855,20240506,1
229869,20240506,1
229879,20240506,1
229895,20240506,1
229905,20240506,1
229915,20240506,1
229925,20240506,1
229935,20240506,1
229951,20240506,1
229961,20240506,1
229971,20240506,1
229981,20240506,1
229991,20240506,1
230001,20240506,1
230011,20240506,1
230021,20240506,1
230031,20240506,1
230041,20240506,1
230051,20240506,1
230061,20240506,1
230071,20240506,1
230081,20240506,1
230087,20240506,1
230097,20240506,1
230103,20240506,1
230113,20240506,1
230123,20240506,1
230133,20240506,1
230143,20240506,1
230153,20240506,1
230163,20240506,1
230173,20240506,1
230183,20240506,1
230189,20240506,1
230199,20240506,1
230209,20240506,1
230215,20240506,1
230221,20240506,1
230227,20240506,1
230237,20240506,1
230247,20240506,1
230257,20240506,1
230267,20240506,1
230273,20240506,1
230279,20240506,1
230289,20240506,1
230295,20240506,1
230305,20240506,1
230315,20240506,1
230325,20240506,1
230335,20240506,1
230341,20240506,1
230347,20240506,1
230353,20240506,1
230363,20240506,1
230369,20240506,1
230379,20240506,1
230389,20240506,1
230399,20240506,1
230405,20240506,1
230415,20240506,1
230425,20240506,1
230435,20240506,1
230445,20240506,1
230455,20240506,1
230461,20240506,1
230467,20240506,1
230473,20240506,1
230483,20240506,1
230493,20240506,1
230499,20240506,1
230505,20240506,1
230515,20240506,1
230520,20240506,1
230530,20240506,1
230540,20240506,1
230550,20240506,1
230560,20240506,1
230570,20240506,1
230580,20240506,1
230590,20240506,1
230600,20240506,1
230610,20240506,1
230620,20240506,1
230630,20240506,1
230640,20240506,1
230650,20240506,1
230660,20240506,1
230670,20240506,1
230680,20240506,1
230685,20240506,1
230695,20240506,1
230705,20240506,1
230715,20240506,1
230725,20240506,1
230735,20240506,1
230740,20240506,1
230745,20240506,1
230750,20240506,1
230760,20240506,1
230770,20240506,1
230780,20240506,1
230790,20240506,1
230800,20240506,1
230810,20240506,1
230820,20240506,1
230830,20240506,1
229285,20240507,1
229295,20240507,1
229305,20240507,1
229315,20240507,1
229325,20240507,1
229333,20240507,1
229343,20240507,1
229353,20240507,1
229363,20240507,1
229373,20240507,1
229383,20240507,1
229393,20240507,1
229403,20240507,1
229413,20240507,1
229423,20240507,1
229433,20240507,1
229443,20240507,1
229453,20240507,1
229463,20240507,1
229473,20240507,1
229483,20240507,1
229493,20240507,1
229503,20240507,1
229513,20240507,1
229523,20240507,1
229533,20240507,1
229539,20240507,1
229549,20240507,1
229559,20240507,1
229569,20240507,1
229579,20240507,1
229585,20240507,1
229591,20240507,1
229601,20240507,1
229611,20240507,1
229621,20240507,1
229631,20240507,1
229641,20240507,1
229651,20240507,1
229661,20240507,1
229667,20240507,1
229673,20240507,1
229679,20240507,1
229699,20240507,1
229709,20240507,1
229715,20240507,1
