route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
142,2,206,INT.- LA VERDELLADA- PLAZA DEL CRISTO- RANCHO GRANDE- SAN BENITO- INT.,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-206,4F1780,FFFFFF
135,2,217,INTERCAMBIADOR-> LOS ANDENES-EL CARDONAL- H.U.C,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-217,4F1780,FFFFFF
134,2,219,INTERCAMBIADOR-> EL CARDONAL->TACO->SAN MATIAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-219,4F1780,FFFFFF
136,2,224,INTERCAMBIADOR-V.GUERRA-TEJINA POR EL BOQUERON-PTA. DEL HIDALGO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-224,4F1780,FFFFFF
46,2,228,SANTA CRUZ -> LOS CAMPITOS-POR LA CUESTA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-228,75AD1C,000000
118,2,231,INTERCAMBIADOR-LA GALLEGA (DIRECTO),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-231,75AD1C,000000
47,2,232,SANTA CRUZ -> EL CARDONAL-LA GALLEGA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-232,75AD1C,000000
48,2,233,SANTA CRUZ -> EL CARDONAL ->FINCA ESPAÑA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-233,75AD1C,000000
52,2,238,SANTA CRUZ -> SAN MATIAS - POR CHAMBERÍ,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-238,75AD1C,000000
132,2,253,INTERCAMBIADOR -> GUAMASA -> GARIMBA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-253,4F1780,FFFFFF
133,2,260,INTERCAMBIADOR ->LOS BALDÍOS-> EL CENTENERO-> LLANO DEL MORO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-260,4F1780,FFFFFF
144,2,270,INTERCAMBIADOR - LAS MERCEDES (POR LAS CANTERAS),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-270,4F1780,FFFFFF
130,2,271,INTERCAMBIADOR -> EL CAMINO-> CRUZ DE ÁLAMOS-> LAS MERCEDES,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-271,4F1780,FFFFFF
131,2,273,INTERCAMBIADOR -> CRUZ DEL CARMEN ->POR LAS MERCEDES,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-273,4F1780,FFFFFF
129,2,274,INTERCAMBIADOR -> EL BATÁN ->POR LAS MERCEDES,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-274,4F1780,FFFFFF
143,2,275,INTERCAMBIADOR -  LAS CARBONERAS - TABORNO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-275,4F1780,FFFFFF
60,2,325,PUERTO DE LA CRUZ -> A. LOS GIGANTES- POR ICOD DE LOS VINOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-325,75AD1C,000000
116,2,330,(CIRCUNVALACIÓN)LOS REALEJOS – SAN VICENTE – LAS LLANADAS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-330,75AD1C,000000
245,2,341,PARADOR DEL TEIDE->TELEFERICO->EL PORTILLO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-341,75AD1C,000000
101,2,342,COSTA ADEJE ->CAÑADAS DEL TEIDE-> EL PORTILLO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-342,75AD1C,000000
62,2,343,PTO. CRUZ <->LOS CRISTIANOS(Por Aeropuertos Norte y Sur)(express),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-343,75AD1C,000000
63,2,345,PTO. DE LA  CRUZ -> OROTAVA-AGUAMANSA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-345,75AD1C,000000
235,2,346,ESTACIÓN LA OROTAVA - AGUAMANSA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-346,75AD1C,000000
64,2,347,LA OROTAVA -> REALEJO ALTO - POR BENIJOS Y PALO BLANCO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-347,75AD1C,000000
65,2,348,PTO. CRUZ<->EL PORTILLO<->CAÑADAS DEL TEIDE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-348,75AD1C,000000
244,2,351,PTO. DE LA CRUZ -> OROTAVA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-351,75AD1C,000000
